Latitude,Longitude
42.06773,-84.23751
42.06772,-84.2375
42.06772,-84.23749
42.0677,-84.23749
42.06769,-84.23748
42.06768,-84.23747
42.06767,-84.23745
42.06766,-84.23743
42.06765,-84.23741
42.06764,-84.23737
42.06762,-84.23734
42.06761,-84.23731
42.06759,-84.23728
42.06758,-84.23726
42.06758,-84.23722
42.06756,-84.2372
42.06755,-84.23718
42.06753,-84.23716
42.06751,-84.23717
42.0675,-84.23718
42.06749,-84.2372
42.06749,-84.2372
42.06748,-84.23723
42.06749,-84.23726
42.0675,-84.23728
42.0675,-84.2373
42.06749,-84.23733
42.06748,-84.23735
42.06747,-84.23737
42.06746,-84.23738
42.06746,-84.23739
42.06745,-84.2374
42.06744,-84.2374
42.06742,-84.23741
42.06741,-84.23743
42.0674,-84.23746
42.06739,-84.23748
42.06738,-84.2375
42.06735,-84.23751
42.06733,-84.23752
42.0673,-84.23752
42.06729,-84.23754
42.06728,-84.23755
42.06727,-84.23757
42.06727,-84.2376
42.06726,-84.23762
42.06724,-84.23763
42.06723,-84.23764
42.06721,-84.23766
42.06719,-84.23767
42.06716,-84.23767
42.06714,-84.23767
42.06712,-84.23766
42.06709,-84.23766
42.06707,-84.23767
42.06705,-84.23768
42.06703,-84.23768
42.067,-84.23768
42.06699,-84.23768
42.06697,-84.23769
42.06695,-84.2377
42.06693,-84.23771
42.06691,-84.23771
42.06689,-84.23772
42.06688,-84.23772
42.06686,-84.23774
42.06682,-84.23776
42.06679,-84.23777
42.06677,-84.23778
42.06674,-84.23778
42.06671,-84.23779
42.06668,-84.2378
42.06666,-84.23781
42.06664,-84.23781
42.06661,-84.23782
42.0666,-84.23783
42.06657,-84.23783
42.06655,-84.23784
42.06652,-84.23785
42.0665,-84.23786
42.06649,-84.23788
42.06647,-84.23789
42.06644,-84.23791
42.06642,-84.23793
42.06641,-84.23793
42.06639,-84.23793
42.06637,-84.23793
42.06636,-84.23791
42.06635,-84.23789
42.06635,-84.23787
42.06635,-84.23785
42.06635,-84.23783
42.06635,-84.2378
42.06635,-84.23777
42.06636,-84.23774
42.06637,-84.23771
42.06637,-84.23767
42.06638,-84.23764
42.06639,-84.23761
42.06639,-84.23758
42.06637,-84.23758
42.06636,-84.23758
42.06634,-84.23759
42.06633,-84.2376
42.06631,-84.2376
42.06629,-84.23761
42.06627,-84.23763
42.06625,-84.23764
42.06623,-84.23765
42.06622,-84.23766
42.0662,-84.23768
42.06618,-84.23769
42.06616,-84.2377
42.06615,-84.23771
42.06613,-84.23772
42.06611,-84.23774
42.0661,-84.23776
42.06609,-84.23778
42.06609,-84.2378
42.06609,-84.23782
42.0661,-84.23784
42.06611,-84.23786
42.06612,-84.23788
42.06611,-84.23789
42.0661,-84.2379
42.06609,-84.2379
42.06608,-84.23791
42.06607,-84.23791
42.06606,-84.23791
42.06605,-84.23791
42.06604,-84.23792
42.06602,-84.23793
42.06601,-84.23793
42.06599,-84.23792
42.06598,-84.23792
42.06597,-84.2379
42.06597,-84.23788
42.06596,-84.23785
42.06596,-84.23782
42.06596,-84.2378
42.06595,-84.23778
42.06595,-84.23776
42.06594,-84.23774
42.06593,-84.23772
42.06592,-84.23772
42.06591,-84.23772
42.06589,-84.23772
42.06588,-84.23773
42.06588,-84.23774
42.06588,-84.23776
42.06588,-84.23779
42.06587,-84.23781
42.06587,-84.23783
42.06587,-84.23785
42.06587,-84.23787
42.06586,-84.23789
42.06586,-84.23791
42.06586,-84.23793
42.06585,-84.23795
42.06585,-84.23797
42.06584,-84.23799
42.06585,-84.238
42.06584,-84.23803
42.06583,-84.23805
42.06583,-84.23807
42.06582,-84.2381
42.06579,-84.23812
42.06579,-84.23814
42.06578,-84.23815
42.06576,-84.23816
42.06574,-84.23818
42.06573,-84.23818
42.06572,-84.23819
42.0657,-84.2382
42.06569,-84.2382
42.06566,-84.2382
42.06564,-84.2382
42.06562,-84.23821
42.0656,-84.23819
42.06559,-84.23819
42.06557,-84.23817
42.06555,-84.23816
42.06554,-84.23814
42.06553,-84.23812
42.06551,-84.2381
42.0655,-84.23808
42.0655,-84.23806
42.06549,-84.23804
42.06548,-84.23803
42.06547,-84.23802
42.06545,-84.23801
42.06544,-84.23799
42.06543,-84.23798
42.06541,-84.23797
42.0654,-84.23796
42.06539,-84.23795
42.06537,-84.23795
42.06536,-84.23794
42.06534,-84.23793
42.06533,-84.23793
42.06532,-84.23792
42.0653,-84.23793
42.06529,-84.23792
42.06527,-84.23792
42.06525,-84.23792
42.06523,-84.23792
42.06521,-84.23791
42.06519,-84.23791
42.06518,-84.23792
42.06516,-84.23792
42.06515,-84.23792
42.06514,-84.23793
42.06512,-84.23793
42.06511,-84.23793
42.0651,-84.23794
42.06508,-84.23795
42.06507,-84.23796
42.06506,-84.23798
42.06503,-84.23798
42.06502,-84.23799
42.065,-84.238
42.06499,-84.23802
42.06498,-84.23803
42.06497,-84.23804
42.06496,-84.23806
42.06495,-84.23808
42.06495,-84.23811
42.06494,-84.23813
42.06493,-84.23815
42.06493,-84.23817
42.06493,-84.2382
42.06493,-84.23822
42.06493,-84.23825
42.06493,-84.23828
42.06492,-84.23831
42.06492,-84.23834
42.06491,-84.23836
42.0649,-84.23837
42.06489,-84.23839
42.06488,-84.2384
42.06488,-84.23841
42.06487,-84.23842
42.06486,-84.23843
42.06485,-84.23844
42.06483,-84.23846
42.06482,-84.23847
42.0648,-84.23848
42.06479,-84.23849
42.06478,-84.2385
42.06477,-84.23851
42.06476,-84.23852
42.06474,-84.23853
42.06473,-84.23853
42.06471,-84.23854
42.0647,-84.23855
42.06469,-84.23856
42.06467,-84.23857
42.06466,-84.23858
42.06464,-84.23858
42.06462,-84.23859
42.0646,-84.23859
42.06458,-84.2386
42.06457,-84.2386
42.06455,-84.23859
42.06453,-84.23858
42.06452,-84.23857
42.06451,-84.23855
42.0645,-84.23854
42.06449,-84.23852
42.06449,-84.2385
42.06449,-84.23847
42.06449,-84.23845
42.06448,-84.23842
42.06449,-84.23839
