42.06937,-84.23754, Point 231
42.06935,-84.23752, Point 232
42.06934,-84.2375, Point 233
42.06932,-84.23748, Point 234
42.06931,-84.23746, Point 235
42.06932,-84.23743, Point 236
42.06931,-84.2374, Point 237
42.0693,-84.23738, Point 238
42.06929,-84.23735, Point 239
42.06927,-84.23733, Point 240
42.06926,-84.23731, Point 241
42.06925,-84.23729, Point 242
42.06923,-84.23728, Point 243
42.06922,-84.23726, Point 244
42.06923,-84.23722, Point 248
42.06923,-84.23719, Point 249
42.06923,-84.23716, Point 250
42.06923,-84.23713, Point 251
42.06923,-84.2371, Point 252
42.06922,-84.23707, Point 253
42.06922,-84.23704, Point 254
42.06921,-84.23701, Point 255
42.0692,-84.23699, Point 256
42.06919,-84.23697, Point 257
42.06918,-84.23695, Point 258
42.06916,-84.23694, Point 259
42.06913,-84.23692, Point 263
42.0691,-84.23691, Point 264
42.06907,-84.23689, Point 265
42.06903,-84.23689, Point 266
42.069,-84.23689, Point 267
42.06898,-84.23688, Point 268
42.06895,-84.2369, Point 269
42.06893,-84.23692, Point 270
42.06891,-84.23693, Point 272
42.06889,-84.23696, Point 273
42.06887,-84.23698, Point 274
42.06886,-84.23701, Point 275
42.06885,-84.23704, Point 276
42.06883,-84.23707, Point 277
42.06882,-84.2371, Point 278
42.0688,-84.23713, Point 279
42.06879,-84.23714, Point 280
42.06877,-84.23716, Point 281
42.06877,-84.23717, Point 282
42.06875,-84.2372, Point 283
42.06872,-84.23721, Point 284
42.0687,-84.23723, Point 285
42.06868,-84.23725, Point 286
42.06866,-84.23727, Point 287
42.06863,-84.23728, Point 288
42.0686,-84.23729, Point 289
42.06857,-84.23731, Point 290
42.06855,-84.23732, Point 291
42.06853,-84.23732, Point 292
42.06851,-84.23732, Point 293
42.06849,-84.23731, Point 294
42.06847,-84.23729, Point 295
42.06847,-84.23729, Point 296
42.06844,-84.23728, Point 297
42.06841,-84.23727, Point 298
42.06839,-84.23725, Point 299
42.06837,-84.23724, Point 300
42.06835,-84.23722, Point 301
42.06832,-84.23721, Point 302
42.0683,-84.23717, Point 303
42.06827,-84.23714, Point 304
42.06826,-84.23712, Point 305
42.06824,-84.23709, Point 306
42.06822,-84.23705, Point 307
42.06819,-84.23703, Point 308
42.06817,-84.23699, Point 309
42.06815,-84.23697, Point 310
42.06812,-84.23695, Point 311
42.0681,-84.23694, Point 312
42.06808,-84.23695, Point 313
42.06805,-84.23695, Point 314
42.06801,-84.23696, Point 315
42.06798,-84.23698, Point 316
42.06796,-84.23698, Point 317
42.06793,-84.23699, Point 318
42.06791,-84.23701, Point 319
42.06789,-84.23703, Point 320
42.06788,-84.23704, Point 321
42.06788,-84.23706, Point 322
42.06788,-84.23707, Point 323
42.06787,-84.23708, Point 324
42.06788,-84.2371, Point 325
42.0679,-84.23711, Point 326
42.06791,-84.23713, Point 327
42.06792,-84.23715, Point 328
42.06793,-84.23718, Point 329
42.06793,-84.23719, Point 330
42.06793,-84.23721, Point 331
42.06792,-84.23722, Point 332
42.06792,-84.23724, Point 333
42.06791,-84.23725, Point 334
42.0679,-84.23727, Point 335
42.0679,-84.23729, Point 336
42.06791,-84.23731, Point 337
42.06791,-84.23733, Point 338
42.06792,-84.23735, Point 339
42.06792,-84.23737, Point 340
42.06793,-84.23739, Point 341
42.06793,-84.23741, Point 342
42.06792,-84.23743, Point 343
42.06791,-84.23744, Point 344
42.0679,-84.23746, Point 345
42.06788,-84.23746, Point 346
42.06786,-84.23748, Point 347
42.06785,-84.23749, Point 348
42.06783,-84.2375, Point 349
42.06781,-84.23751, Point 350
42.06779,-84.23752, Point 351
42.06777,-84.23752, Point 352
42.06775,-84.23751, Point 353
42.06773,-84.23751, Point 354
42.06772,-84.2375, Point 355
42.06772,-84.23749, Point 356
42.0677,-84.23749, Point 357
42.06769,-84.23748, Point 358
42.06768,-84.23747, Point 359
42.06767,-84.23745, Point 360
42.06766,-84.23743, Point 362
42.06765,-84.23741, Point 363
42.06764,-84.23737, Point 365
42.06762,-84.23734, Point 366
42.06761,-84.23731, Point 367
42.06759,-84.23728, Point 368
42.06758,-84.23726, Point 369
42.06758,-84.23722, Point 370
42.06756,-84.2372, Point 371
42.06755,-84.23718, Point 372
42.06753,-84.23716, Point 373
42.06751,-84.23717, Point 374
42.0675,-84.23718, Point 375
42.06749,-84.2372, Point 376
42.06749,-84.2372, Point 377
42.06748,-84.23723, Point 378
42.06749,-84.23726, Point 379
42.0675,-84.23728, Point 380
42.0675,-84.2373, Point 381
42.06749,-84.23733, Point 382
42.06748,-84.23735, Point 383
42.06747,-84.23737, Point 384
42.06746,-84.23738, Point 385
42.06746,-84.23739, Point 386
42.06745,-84.2374, Point 387
42.06744,-84.2374, Point 388
42.06742,-84.23741, Point 389
42.06741,-84.23743, Point 390
42.0674,-84.23746, Point 391
42.06739,-84.23748, Point 392
42.06738,-84.2375, Point 393
42.06735,-84.23751, Point 394
42.06733,-84.23752, Point 395
42.0673,-84.23752, Point 396
42.06729,-84.23754, Point 397
42.06728,-84.23755, Point 398
42.06727,-84.23757, Point 399
42.06727,-84.2376, Point 400
42.06726,-84.23762, Point 401
42.06724,-84.23763, Point 402
42.06723,-84.23764, Point 403
42.06721,-84.23766, Point 404
42.06719,-84.23767, Point 405
42.06716,-84.23767, Point 406
42.06714,-84.23767, Point 407
42.06712,-84.23766, Point 408
42.06709,-84.23766, Point 409
42.06707,-84.23767, Point 410
42.06705,-84.23768, Point 411
42.06703,-84.23768, Point 412
42.067,-84.23768, Point 413
42.06699,-84.23768, Point 414
42.06697,-84.23769, Point 415
42.06695,-84.2377, Point 416
42.06693,-84.23771, Point 417
42.06691,-84.23771, Point 418
42.06689,-84.23772, Point 419
42.06688,-84.23772, Point 420
42.06686,-84.23774, Point 421
42.06682,-84.23776, Point 422
42.06679,-84.23777, Point 423
42.06677,-84.23778, Point 424
42.06674,-84.23778, Point 425
42.06671,-84.23779, Point 426
42.06668,-84.2378, Point 427
42.06666,-84.23781, Point 428
42.06664,-84.23781, Point 429
42.06661,-84.23782, Point 430
42.0666,-84.23783, Point 431
42.06657,-84.23783, Point 432
42.06655,-84.23784, Point 433
42.06652,-84.23785, Point 434
42.0665,-84.23786, Point 435
42.06649,-84.23788, Point 436
42.06647,-84.23789, Point 437
42.06644,-84.23791, Point 438
42.06642,-84.23793, Point 439
42.06641,-84.23793, Point 440
42.06639,-84.23793, Point 441
42.06637,-84.23793, Point 442
42.06636,-84.23791, Point 443
42.06635,-84.23789, Point 444
42.06635,-84.23787, Point 445
42.06635,-84.23785, Point 447
42.06635,-84.23783, Point 448
42.06635,-84.2378, Point 449
42.06635,-84.23777, Point 452
42.06636,-84.23774, Point 453
42.06637,-84.23771, Point 389
42.06637,-84.23767, Point 390
42.06638,-84.23764, Point 391
42.06639,-84.23761, Point 392
42.06639,-84.23758, Point 393
42.06637,-84.23758, Point 394
42.06636,-84.23758, Point 395
42.06634,-84.23759, Point 396
42.06633,-84.2376, Point 397
42.06631,-84.2376, Point 398
42.06629,-84.23761, Point 399
42.06627,-84.23763, Point 400
42.06625,-84.23764, Point 401
42.06623,-84.23765, Point 402
42.06622,-84.23766, Point 403
42.0662,-84.23768, Point 404
42.06618,-84.23769, Point 405
42.06616,-84.2377, Point 423
42.06615,-84.23771, Point 424
42.06613,-84.23772, Point 425
42.06611,-84.23774, Point 426
42.0661,-84.23776, Point 427
42.06609,-84.23778, Point 428
42.06609,-84.2378, Point 429
42.06609,-84.23782, Point 430
42.0661,-84.23784, Point 433
42.06611,-84.23786, Point 434
42.06612,-84.23788, Point 435
42.06611,-84.23789, Point 436
42.0661,-84.2379, Point 437
42.06609,-84.2379, Point 438
42.06608,-84.23791, Point 439
42.06607,-84.23791, Point 440
42.06606,-84.23791, Point 441
42.06605,-84.23791, Point 442
42.06604,-84.23792, Point 443
42.06602,-84.23793, Point 444
42.06601,-84.23793, Point 445
42.06599,-84.23792, Point 446
42.06598,-84.23792, Point 447
42.06597,-84.2379, Point 448
42.06597,-84.23788, Point 449
42.06596,-84.23785, Point 454
42.06596,-84.23782, Point 455
